x1,x2,x3,x4,x5,Label
14,8,14,5,27,godown
8,14,5,27,12,godown
14,5,27,12,11,goup
5,27,12,11,20,godown
27,12,11,20,3,goup
12,11,20,3,25,goup
11,20,3,25,29,godown
20,3,25,29,23,godown
3,25,29,23,21,godown
25,29,23,21,16,goup
29,23,21,16,25,godown
23,21,16,25,21,goup
21,16,25,21,23,godown
16,25,21,23,18,godown
25,21,23,18,11,stable
21,23,18,11,11,godown
23,18,11,11,5,goup
18,11,11,5,10,goup
11,11,5,10,14,godown
11,5,10,14,6,godown
5,10,14,6,3,goup
10,14,6,3,5,godown
14,6,3,5,1,goup
6,3,5,1,6,stable
3,5,1,6,6,godown
5,1,6,6,2,godown
1,6,6,2,1,goup
6,6,2,1,3,godown
6,2,1,3,0,stable
2,1,3,0,0,goup
1,3,0,0,1,godown
3,0,0,1,0,goup
0,0,1,0,10,godown
0,1,0,10,0,goup
1,0,10,0,1,goup
0,10,0,1,2,godown
10,0,1,2,1,godown
0,1,2,1,0,goup
1,2,1,0,4,godown
2,1,0,4,0,goup
1,0,4,0,4,stable
0,4,0,4,4,godown
4,0,4,4,2,godown
0,4,4,2,0,goup
4,4,2,0,1,goup
4,2,0,1,6,godown
2,0,1,6,0,goup
0,1,6,0,1,stable
1,6,0,1,1,goup
6,0,1,1,5,goup
0,1,1,5,10,godown
1,1,5,10,4,goup
1,5,10,4,13,godown
5,10,4,13,11,stable
10,4,13,11,11,goup
4,13,11,11,13,goup
13,11,11,13,18,godown
11,11,13,18,15,goup
11,13,18,15,21,godown
13,18,15,21,3,goup
18,15,21,3,5,godown
15,21,3,5,3,goup
21,3,5,3,4,stable
3,5,3,4,4,godown
5,3,4,4,0,goup
3,4,4,0,3,godown
4,4,0,3,0,goup
